ERROR: 2020-10-27T12:06:58-05:00 {"source":"MetadataProvider.getHistoricRepoCommitData","message":". : File X:\\Documents\\WindowsPowerShell\\profile.ps1 cannot be loaded because running scripts is disabled on this \r\nsystem. For more information, see about_Execution_Policies at https:/go.microsoft.com/fwlink/?LinkID=135170.\r\nAt line:1 char:3\r\n+ . 'X:\\Documents\\WindowsPowerShell\\profile.ps1'\r\n+   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\r\n    + CategoryInfo          : SecurityError: (:) [], PSSecurityException\r\n    + FullyQualifiedErrorId : UnauthorizedAccess\r\n"} 
ERROR: 2020-10-27T12:08:16-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:08:24-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:09:33-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:09:43-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:09:56-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:12:08-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:12:25-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"DebounceError"}} 
ERROR: 2020-10-27T12:12:28-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T12:12:35-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
